1,Tetris,https://upload.wikimedia.org/wikipedia/tr/9/99/Tetris_film_afi%C5%9Fi.jpg,7.1,A thrilling movie about the game Tetris.,0
2,Eternal Sunshine of the Spotless Mind,https://c8.alamy.com/comp/2JHN7F2/film-poster-eternal-sunshine-of-the-spotless-mind-2004-2JHN7F2.jpg,8.3,A romantic science fiction drama.,0
3,Aka,https://tr.web.img4.acsta.net/pictures/23/03/30/10/10/0090788.jpg,6.8,Action-packed thriller.,0
4,Dungeons and Dragons,https://m.media-amazon.com/images/M/MV5BOGRjMjQ0ZDAtODc0OS00MGY1LTkxMTMtODhhNjY5NTM4N2IwXkEyXkFqcGc@._V1_.jpg,7.5,Fantasy adventure film.,0
5,Ambulance,https://turkcealtyazi.org/images/poster/4998632.jpg,6.1,High-octane action movie.,0
6,Capernaum,https://m.media-amazon.com/images/M/MV5BMjA0MTVmZTEtMmZkNi00MzMzLTk3ZmEtYWY5ZDA1NWJjZmNlXkEyXkFqcGc@._V1_.jpg,8.4,A powerful Lebanese drama.,0
7,T34,https://m.media-amazon.com/images/S/pv-target-images/a8acc432fa31ab5b989aabbe16954b13d7c6d817b7079c7df22109c745975b2b.jpg,7,Russian WWII tank movie.,0
8,Men,https://img05.imgsinemalar.com/images/afis_dev/a/adamlar-1660927708.jpg,6.1,A psychological horror film.,0
9,The Northman,https://upload.wikimedia.org/wikipedia/en/8/8c/The_Northman.png,7.1,Viking revenge saga.,0
10,Top Gun Maverick,https://m.media-amazon.com/images/M/MV5BMDBkZDNjMWEtOTdmMi00NmExLTg5MmMtNTFlYTJlNWY5YTdmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,8.3,Pilot action film.,1
11,Splenhead,https://tr.web.img3.acsta.net/pictures/22/05/17/16/39/5064862.jpg,7,Documentary about music.,0
12,Fall,https://m.media-amazon.com/images/M/MV5BYmZjYjAxMDEtOTE2My00MmM5LTkyYjctOWRjMjgyM2JhMDI0XkEyXkFqcGc@._V1_.jpg,6.4,Survival thriller.,1
13,The 12th Man,https://m.media-amazon.com/images/M/MV5BMzI2MDMyNTYtNTcwZS00NDI1LTlhNmMtYTIzNDliM2U3YTAzXkEyXkFqcGc@._V1_.jpg,7.9,Norwegian WWII resistance drama.,1
14,Mosul,https://m.media-amazon.com/images/M/MV5BOGM4N2E5NDAtMWZjNC00ZWNjLTk4YjgtYTU0OGVjM2JmZDc3XkEyXkFqcGc@._V1_.jpg,7.1,Action war film.,0
15,The Art of Racing in the Rain,"https://m.media-amazon.com/images/I/81CpfGZBUkL._UF1000,1000_QL80_.jpg",7.5,A heartwarming dog story.,0
16,Coda,https://upload.wikimedia.org/wikipedia/tr/f/fb/CODA_2021_film_afi%C5%9Fi.jpg,7.9,Coming-of-age drama.,0
17,Free Guy,https://m.media-amazon.com/images/S/pv-target-images/6d416c486e17ae7ab4856f95cbd468616659f144dc7a744b1c1cb585e9e6343b.jpg,7.1,Action-comedy about a video game NPC.,0
