1,Çekiç ve Gül,https://m.media-amazon.com/images/M/MV5BODQwZTEyN2UtOTM5ZS00ZTZjLWIwNzYtM2ZhNDA2YjIyNGUwXkEyXkFqcGc@._V1_.jpg,8.1,Bir Türk polisiye dizisi.,1
2,Gibi,https://m.media-amazon.com/images/M/MV5BOWY0ZGIyZjAtZDIxMC00NTY4LTgyNDEtYmMwMzBmNmQ0MmE1XkEyXkFqcGc@._V1_.jpg,7.3,Bir Türk komedi dizisi.,0
3,Turk Dedektif,https://upload.wikimedia.org/wikipedia/en/e/e0/The_Turkish_Detective_poster.jpg,6.2,A Turkish detective series.,0
4,The Walking Dead,https://m.media-amazon.com/images/M/MV5BYWQwMGRhNGEtZTNhMy00MzVjLWJhMjItYjcwMDljMTkyNTg2XkEyXkFqcGc@._V1_.jpg,8.1,Survivors navigate a zombie apocalypse.,1
5,Şahsiyet l,https://images.justwatch.com/poster/255471422/s718/sezon-1.jpg,9.1,A retired judicial officer plans a murder.,1
6,Fear The Walking Dead,https://m.media-amazon.com/images/M/MV5BMDU2YmNiOTktMjE4Ny00NmFhLWIxZTYtOWY0ZWQ4MWM3YjdiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,6.8,A spin-off of The Walking Dead.,0
7,Beckham,https://m.media-amazon.com/images/M/MV5BZmNmZTU5ZTUtZTc0NS00ZWJlLWFlMzUtMDRmZDgzMDhjNmM0XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,7.7,A documentary series about David Beckham.,0
8,You,https://m.media-amazon.com/images/M/MV5BMTVlYmRhMWQtNmE0Yi00ODM1LWEzMWEtNTQzZGZhODRmZTE0XkEyXkFqcGc@._V1_.jpg,7.7,A stalker becomes obsessed with a young woman.,1
9,12 Monkeys,https://m.media-amazon.com/images/M/MV5BMTkwOTcxNzMzOV5BMl5BanBnXkFtZTgwODYxNjg0ODE@._V1_FMjpg_UX1000_.jpg,8.0,A time traveler is sent back to prevent a deadly plague.,1
10,La case papel,https://images.justwatch.com/poster/249335581/s718/la-casa-de-papel.jpg,8.2,A group of criminals plans a heist on the Royal Mint of Spain.,0
11,Berlin,https://m.media-amazon.com/images/M/MV5BYjEwNjFmNjMtMGYzNy00MzBiLWJlYjAtMGJjNTEwZGFhMjNlXkEyXkFqcGc@._V1_.jpg,7.1,"A prequel to Money Heist, focusing on Berlin's past.",0
